SainzTiebauzfu	Sainz Tiebauz fu
nezenl'eveschédeTroies;sesperesotnon	nez en l ' evesché de Troies ; ses peres ot non
Ernousetsa	Ernous et sa
mere,Gileetfurentfrançoisetfurentmoltnoblegent	mere , Gile et furent françois et furent molt noble gent
etdegrantlynaige	et de grant lynaige
.ilfunorrizaProvins.SainzTiebauzlievesques	. il fu norriz a Provins . Sainz Tiebauz li evesques
deViennefuoncless'	de Vienne fu oncles s '
aiole.EtporluifuilapelezTiebaut.CilsainzTiebauzdeVienneparloitsouventalameredameGilequimerefu	aiole . Et por lui fu il apelez Tiebaut . Cil sainz Tiebauz de Vienne parloit souvent a la mere dame Gile qui mere fu
cestuiThiebautetaucunefoizlidit:«Aiesjoieetleesceenton	cestui Thiebaut et aucune foiz li dit :« Aies joie et leesce en ton
cuercartuaurasunefillequiaura.i.filquiserademoltgrantmeritedevantDieuetde	cuer car tu auras une fille qui aura . i . fil qui sera de molt grant merite devant Dieu et de
grantlosentreleshomes.»DecesteanonciationquelisainzevesquesfistdesaintTiebautportaentesmoignage(f°CLXV	grant los entre les homes .» De ceste anonciation que li sainz evesques fist de saint Tiebaut porta en tesmoignage ( f ° CLXV
v°cola)unepovrepreudefamevevequivinta	v ° col a ) une povre preudefame veve qui vint a
dameGilequijaestoitençaintedestTiebautetlidit:«Confortetoiet	dame Gile qui ja estoit ençainte de st Tiebaut et li dit :« Conforte toi et
soieslieecartuportesentonventre.i.filquison	soies liee car tu portes en ton ventre . i . fil qui son
lieuauradevantDieuetquigranthonnorferaatozsesparenz	lieu aura devant Dieu et qui grant honnor fera a toz ses parenz
.»LichastiausdeProvinsousainzTiebauzfunorriz,sicomnosavonscidevantdit,est	.» Li chastiaus de Provins ou sainz Tiebauz fu norriz , si com nos avons ci devant dit , est
unlieusouilamoltdegentetfuçaenarriereau	un lieus ou il a molt de gent et fu ça en arriere au
bonconteHuedonquisiresfudeChampaignedecuiparaigessainzTiebauzfunez.Quantilot	bon conte Huedon qui sires fu de Champaigne de cui paraiges sainz Tiebauz fu nez . Quant il ot
passél'aaigedes'enfance,ilnes'acorda	passé l ' aaige de s ' enfance , il ne s ' acorda
pasalavolentédoumonde,ainz	pas a la volenté dou monde , ainz
escotadiligemmentetreçuitlescoumandemenzJhesuCristetpansoitmoutsouventensoncueralasolitaireviedes	escota diligemment et reçuit les coumandemenz Jhesu Crist et pansoit mout souvent en son cuer a la solitaire vie des
ermitesetdesautresquiapresausfurent;ildesirroitvestiraspresrobesetuserdepetitesviandes	ermites et des autres qui apres aus furent ; il desirroit vestir aspres robes et user de petites viandes
en.i.solitairelieu.Unjoravintentrecespansesqu'ilsedeparticeleementdeses	en . i . solitaire lieu . Un jor avint entre ces panses qu ' il se departi celeement de ses
genzetalae.i.hermitequiestoiten	genz et ala e . i . hermite qui estoit en
uneillede	une ille de
Sainneetlidescouvritoutsoncuer.Apresce,par	Sainne et li descouvri tout son cuer . Apres ce , par
